id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where0|where1|marriage0|marriage1|look0|look1|where2
14135047|F|31|163|3|-1|1|-1|0|2|0|3|1|1|1|0|28.0|0|1|0|0|0|1|2
27405014|F|25|158|3|-1|1|-1|1|-1|0|5|3|0|0|1|-1.0|-1|1|0|0|0|0|1
1547744|F|32|168|2|-1|1|-1|0|1|0|5|3|0|0|0|31.5|1|1|0|0|0|1|3
25194842|F|42|163|2|-1|1|0|0|0|0|5|1|1|-1|0|-1.0|-1|-1|1|1|1|1|1
12316207|F|33|160|2|0|1|-1|0|0|0|5|1|-1|1|0|28.0|-1|1|0|0|0|1|2
2076901|F|34|165|4|0|1|-1|0|0|0|0|0|0|0|0|26.5|-1|1|0|0|0|0|3
35272207|F|23|158|1|-1|1|-1|0|1|0|5|1|-1|1|-1|25.0|-1|1|0|0|0|0|1
55858131|F|23|160|2|1|0|-1|0|0|0|0|-1|0|1|0|-1.0|-1|-1|0|0|1|1|3
1437028|F|30|170|2|-1|1|-1|0|1|0|0|0|0|0|0|31.0|0|0|0|0|0|0|0
3971741|F|29|170|2|0|1|-1|0|-1|0|0|1|0|0|1|25.0|1|1|0|0|0|0|3
32784593|F|24|160|2|-1|1|-1|0|-1|0|5|1|0|1|1|21.5|1|0|0|0|0|0|3
83559062|F|36|160|3|0|1|-1|0|1|0|5|0|1|1|-1|30.0|0|-1|1|0|0|1|4
31214301|F|24|160|1|-1|0|0|0|0|0|2|1|0|1|0|-1.0|0|0|0|0|0|0|0
16877909|F|27|160|2|0|1|-1|0|1|0|2|1|1|0|-1|29.0|-1|1|0|0|0|0|3
4150686|F|31|164|2|0|1|-1|0|0|0|5|0|-1|0|0|27.0|-1|1|0|0|0|0|2
14430745|F|30|157|2|-1|1|-1|0|0|0|2|1|0|1|1|22.5|0|0|0|0|0|0|3
21342249|F|30|155|1|0|1|0|0|0|0|3|1|0|0|0|21.5|1|0|1|1|0|0|3
15158079|F|38|164|2|0|1|0|0|-1|0|0|3|0|1|0|25.5|1|0|0|0|1|0|3
17620055|F|40|163|1|-1|1|-1|0|-1|0|5|1|1|0|0|26.0|0|-1|1|0|0|1|3
7930556|F|27|166|3|-1|1|-1|0|0|0|3|1|1|0|0|25.5|0|0|0|0|0|0|3
5093515|F|29|160|2|0|0|-1|0|0|0|2|3|1|0|0|22.5|0|0|0|0|0|1|2
24270137|F|32|163|2|-1|1|0|0|0|0|0|0|0|0|0|-1.0|0|0|0|0|0|0|1
39219801|F|27|160|2|0|1|-1|0|0|0|3|3|0|1|0|27.5|0|1|0|0|0|0|3
14257041|F|27|166|2|0|1|-1|0|0|0|3|3|0|1|1|26.0|1|0|0|0|0|0|1
1307741|F|33|158|3|-1|1|-1|0|0|0|5|3|1|1|0|24.5|1|0|0|0|0|0|3
