id|gender_x|age_x|height_x|edu_x|salary_x|nation_x|car_x|house_x|body_x|face_x|hair_x|smoke_x|drink_x|child_x|parent_x|bmi_x|where0_x|where1_x|marriage0_x|marriage1_x|look0_x|look1_x|where2_x|gender_y|age_y|height_y|edu_y|salary_y|nation_y|car_y|house_y|body_y|face_y|hair_y|smoke_y|drink_y|child_y|parent_y|bmi_y|where0_y|where1_y|marriage0_y|marriage1_y|look0_y|look1_y|where2_y
3585633|F|38|165|2|0.0|1|-1|1|-1.0|1|5|1|-1|-1|-1|24.0|0|0|0|0|1|1|2|M|45|183|-1|-1|1|-1|0|0.0|1|0|0|0|0|0|26.0|0|0|0|0|0|0|2
5269593|F|29|168|2|-1.0|1|-1|0|0.0|0|3|1|1|1|0|-1.0|-1|1|0|0|0|0|3|M|34|177|0|0|0|0|0|0.0|0|0|0|0|0|0|21.0|-1|1|0|0|0|0|3
21143983|F|39|165|2|0.0|1|-1|1|1.0|0|3|1|1|1|0|32.5|0|0|0|0|1|1|3|M|39|179|2|1|1|-1|0|0.0|0|-1|1|0|1|1|25.333333333333332|0|0|0|0|0|0|3
2984317|F|29|165|2|1.0|1|1|0|0.0|0|5|1|0|0|0|25.0|0|0|0|0|0|0|0|M|35|190|-1|1|1|1|1|0.0|0|0|1|0|0|0|25.0|1|1|0|0|0|0|3
12495452|F|42|158|1|-1.0|1|-1|1|1.0|1|5|-1|0|0|0|25.0|0|1|1|1|1|1|2|M|39|170|-2|-1|1|-1|1|-1.0|0|0|1|1|0|0|27.5|0|1|1|0|0|0|2
10530267|F|35|165|2|-1.0|1|-1|0|0.0|0|0|0|0|1|1|27.5|0|-1|0|0|0|0|4|M|36|173|-1|-1|1|-1|0|0.0|0|-1|1|-1|0|1|32.0|0|-1|0|0|0|0|3
12302891|F|43|156|3|0.0|1|1|0|-1.0|0|3|1|-1|0|0|23.0|0|0|1|1|0|0|0|M|45|169|0|2|1|1|0|0.0|0|0|3|-1|1|0|29.5|0|0|1|1|1|1|0
11793124|F|25|172|2|0.0|1|-1|0|0.0|0|5|1|0|1|-1|27.5|0|0|0|0|0|0|0|M|26|181|-2|0|0|1|1|-1.0|0|-1|-4|0|1|-1|18.666666666666668|0|0|0|0|1|1|0
19175298|F|34|159|2|0.0|1|0|0|0.0|0|5|3|0|0|0|-1.0|1|0|0|0|0|1|2|M|33|168|-1|0|1|-1|0|0.0|0|-1|-1|0|0|0|-1.0|1|0|0|0|0|0|2
12166019|F|31|158|2|-1.0|1|0|0|-1.0|0|5|1|0|1|1|42.5|1|0|0|0|0|0|2|M|32|170|0|0|1|-1|0|0.0|0|0|-1|0|1|0|35.5|1|0|0|0|0|0|2
29233572|F|33|161|2|1.0|1|1|1|0.0|0|3|3|1|1|0|25.5|0|0|0|0|0|1|0|M|37|182|0|2|0|0|0|2.0|0|0|0|0|0|0|25.0|0|0|0|0|1|1|0
20585941|F|27|161|3|0.0|0|-1|0|0.0|0|5|3|0|0|0|25.0|-1|-1|0|0|0|0|1|M|31|170|0|0|1|0|0|-1.0|0|0|3|0|0|1|-1.0|-1|-1|0|0|1|1|1
16746678|F|27|167|3|1.0|1|-1|0|0.0|0|3|3|-1|1|0|30.0|1|0|0|0|1|1|3|M|29|177|-1|2|1|1|0|2.0|1|0|1|0|0|0|25.333333333333332|0|0|0|0|0|0|0
74250522|F|28|176|3|0.0|1|1|1|-1.0|0|3|1|0|1|0|-1.0|1|0|0|0|0|0|1|M|29|180|-1|0|1|0|0|2.0|0|-1|0|0|1|0|-1.0|0|-1|0|0|0|1|4
18204967|F|39|164|3|0.0|1|-1|0|0.0|0|5|3|-1|1|0|28.0|0|0|0|0|0|1|0|M|49|170|0|1|1|1|1|0.0|0|-1|-4|0|0|0|31.0|0|0|1|1|0|0|0
4219560|F|29|162|3|0.0|1|-1|0|1.0|0|5|1|0|0|-1|27.5|0|1|0|0|1|0|3|M|34|178|0|1|1|-1|1|-1.0|1|0|-1|-1|1|-1|20.0|0|1|0|0|0|0|3
16465568|F|33|155|1|-1.0|0|-1|0|0.0|0|3|1|0|0|0|24.5|0|-1|0|0|0|0|1|M|36|160|-2|-1|1|-1|0|1.0|0|0|3|-1|0|1|30.0|0|-1|0|0|0|0|1
36275934|F|25|167|4|1.0|1|1|0|0.0|0|3|1|1|1|1|26.0|0|-1|0|0|0|0|4|M|30|175|0|0|1|-1|1|0.0|0|0|1|-1|1|1|22.666666666666668|0|-1|1|0|1|1|4
17758645|F|30|153|2|0.0|1|-1|0|0.0|1|5|3|0|1|1|21.5|1|0|0|0|0|0|1|M|33|170|0|1|0|1|0|0.0|0|0|1|0|0|0|-1.0|1|0|0|0|0|0|3
