id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where0|where1|marriage0|marriage1|look0|look1|where2
2904768|M|37|174|0|0|1|-1|1|2|0|-1|-4|0|1|1|23.333333333333332|0|-1|0|0|0|0|1
4236053|M|51|172|-1|1|0|-1|1|2|1|0|1|0|0|0|33.0|0|-1|1|1|0|0|3
19626120|M|37|165|-1|-1|0|0|0|0|0|0|0|0|0|0|-1.0|-1|-1|0|0|0|0|3
40836667|M|29|170|-1|0|1|-1|0|2|0|-2|-1|0|1|1|30.0|1|0|0|0|0|0|3
4221000|M|30|185|0|0|1|1|0|2|0|0|0|0|0|0|26.666666666666668|0|0|0|0|0|0|0
33300887|M|27|182|-1|1|1|-1|0|-1|0|0|-1|0|1|0|21.666666666666668|0|0|0|0|1|1|0
15639018|M|39|170|-1|1|1|-1|1|0|0|0|-1|0|1|1|30.0|0|0|0|0|1|1|3
101937459|M|54|178|-1|0|0|0|0|0|1|0|-4|1|-1|-1|21.333333333333332|0|0|1|1|1|1|0
3151244|M|43|177|0|2|0|1|1|0|1|-1|-4|-1|1|1|24.0|1|0|0|0|1|1|2
17034216|M|31|165|-2|0|1|-1|0|2|1|-1|1|0|1|1|33.5|1|0|0|0|0|0|1
2393830|M|34|173|0|0|1|-1|0|2|0|0|0|0|0|0|34.0|-1|-1|0|0|0|0|1
28560765|M|30|170|-1|0|0|-1|0|2|1|-1|-4|0|1|0|37.5|0|-1|0|0|0|1|4
18320731|M|36|170|0|-1|0|0|0|0|1|0|-1|1|0|0|34.0|-1|1|0|0|0|0|1
5005984|M|44|168|0|1|0|-1|0|0|0|0|3|0|0|0|-1.0|0|-1|1|0|0|0|4
38864487|M|29|175|-1|1|1|1|0|1|0|0|-4|0|1|1|24.0|-1|-1|0|0|1|1|1
51804643|M|27|175|-1|1|1|-1|0|0|0|0|-1|0|0|0|21.666666666666668|0|0|0|0|0|0|0
27302034|M|51|165|2|1|1|-1|1|2|0|-1|3|1|0|1|40.0|0|0|1|1|0|1|0
1147172|M|39|176|0|-1|0|0|0|0|0|0|0|0|0|0|21.666666666666668|1|0|0|0|0|0|3
4118796|M|33|178|0|1|1|-1|0|0|0|0|-1|-1|1|0|25.0|1|0|0|0|0|0|3
2023212|M|37|169|0|1|1|0|0|2|0|0|0|0|0|0|35.0|0|-1|0|0|0|0|3
13412830|M|30|171|-1|0|1|-1|0|2|1|0|0|0|0|0|-1.0|0|0|0|0|0|1|0
4747191|M|43|172|0|3|1|1|1|0|0|-1|1|0|1|1|34.0|0|0|0|0|0|0|3
1075878|M|38|178|2|2|1|-1|0|0|0|0|0|0|0|0|23.333333333333332|0|0|0|0|0|0|0
20288517|M|36|177|0|0|1|-1|0|0|0|0|-4|0|0|1|-1.0|0|0|0|0|0|0|3
11534364|M|47|170|-1|0|1|-1|0|2|1|-1|3|1|1|0|31.0|0|0|1|1|0|0|0
32502261|M|31|183|0|0|1|1|1|0|0|-1|-2|0|1|0|22.666666666666668|0|0|0|0|0|0|3
19540456|M|37|178|0|0|1|-1|1|0|1|0|-4|0|1|0|22.333333333333332|0|1|1|0|0|1|3
2978891|M|30|172|-1|0|1|-1|1|0|0|0|3|0|0|0|30.5|0|0|0|0|0|0|0
1064945|M|34|176|0|1|1|1|1|0|0|0|-1|-1|1|0|21.666666666666668|1|0|0|0|0|0|3
53296963|M|27|175|0|0|0|-1|0|0|1|0|-1|-1|1|0|22.666666666666668|0|-1|0|0|0|1|1
14108545|M|33|173|-1|-1|0|0|0|-1|0|-1|0|0|0|0|27.5|0|0|0|0|1|1|3
14212492|M|30|175|0|0|1|-1|0|-1|0|-1|-1|-1|1|0|18.333333333333332|-1|1|0|0|1|1|2
16859022|M|36|172|-1|1|0|-1|0|0|1|0|0|0|0|1|30.0|0|0|1|1|0|0|0
1256450|M|33|180|-1|-1|1|-1|1|2|0|0|3|0|1|0|23.333333333333332|1|1|0|0|1|1|1
43694845|M|22|195|0|0|1|1|0|2|0|0|3|1|0|1|31.666666666666668|0|0|0|0|1|0|0
21895768|M|44|178|-1|1|1|-1|1|0|0|0|1|1|0|1|25.0|0|-1|1|0|0|0|3
2300753|M|32|172|0|0|1|-1|1|2|0|0|-1|0|1|-1|35.0|0|0|0|0|0|1|3
41272056|M|35|176|0|0|1|-1|1|1|0|-1|-1|0|0|0|-1.0|0|0|0|0|0|0|0
24161504|M|27|170|-1|0|0|-1|0|2|0|0|1|0|1|1|35.0|0|0|0|0|0|0|0
4300496|M|33|172|0|0|1|-1|1|1|0|0|-4|1|1|0|37.5|0|0|0|0|0|0|3
4655508|M|30|173|-1|1|1|-1|0|0|0|-1|1|-1|1|1|31.5|0|-1|0|0|1|1|3
4122872|M|46|175|0|1|1|-1|1|0|0|0|-4|0|0|0|24.666666666666668|0|0|1|0|1|1|0
17866891|M|31|177|0|0|1|-1|0|-1|1|-2|1|0|0|0|-1.0|1|0|0|0|1|1|3
18084281|M|31|180|0|0|1|-1|1|-1|1|0|1|0|1|0|-1.0|0|0|0|0|1|1|3
24439006|M|32|171|0|0|1|-1|1|1|0|0|3|-1|1|1|42.5|1|0|0|0|0|0|3
14024413|M|38|175|0|0|1|0|0|0|0|0|-2|0|1|0|24.666666666666668|0|0|0|0|1|1|3
26231918|M|38|165|0|0|1|-1|1|1|0|0|3|1|1|1|35.0|-1|-1|0|0|0|0|1
1051980|M|41|165|2|0|0|-1|1|0|0|0|-1|0|1|1|33.0|0|0|0|0|0|0|3
11614729|M|33|171|0|0|1|-1|0|2|1|0|-4|0|1|0|32.5|-1|1|0|0|0|0|3
18211870|M|35|172|-1|3|0|0|0|0|0|0|0|0|0|0|-1.0|0|-1|0|0|0|0|1
36212086|M|35|172|-2|-1|1|0|0|0|0|0|0|0|0|0|32.5|0|0|1|1|0|0|1
13253158|M|35|180|-1|0|1|0|0|0|0|0|0|0|0|0|22.333333333333332|1|1|0|0|0|0|1
3005049|M|49|170|0|0|1|1|1|0|1|0|3|1|0|0|37.0|0|-1|1|1|0|1|3
2611898|M|35|173|0|1|1|-1|1|0|0|0|3|0|1|1|35.0|1|0|0|0|1|1|3
1310884|M|34|176|0|0|1|0|0|2|0|0|1|0|1|1|24.333333333333332|1|0|0|0|0|0|3
1259580|M|39|176|-1|1|1|-1|1||0|0|0|0|0|0|29.666666666666668|1|0|0|0|0|0|3
2957662|M|40|172|-1|0|1|-1|0|0|0|0|0|0|0|0|34.0|0|-1|0|0|0|0|3
34382893|M|27|168|-1|0|1|-1|0|0|0|0|3|0|1|1|-1.0|0|-1|0|0|0|0|1
1030906|M|35|170|3|-1|0|-1|0|0|0|0|0|0|0|0|-1.0|1|0|0|0|0|0|4
1659536|M|31|175|0|1|1|-1|0|2|0|0|-1|0|1|0|21.666666666666668|0|0|0|0|0|0|0
13158044|M|34|171|0|0|1|-1|1|0|0|-1|3|0|0|0|29.0|0|-1|0|0|0|0|3
85803009|M|24|172|0|1|1|1|0|0|1|0|1|0|1|1|29.0|1|0|1|0|1|1|3
1377041|M|34|174|3|0|1|-1|0|0|0|-1|1|1|1|1|51.666666666666664|0|0|0|0|1|1|3
25336367|M|42|170|2|2|1|1|1|0|0|0|-4|1|0|0|30.0|-1|-1|1|1|1|1|3
22806738|M|33|165|-1|0|1|1|1|-1|1|0|-4|0|1|1|-1.0|0|-1|0|0|1|1|1
19566283|M|55|182|-1|0|1|-1|1|0|0|0|3|-1|-1|0|26.666666666666668|0|0|1|1|0|1|1
2297869|M|33|177|2|2|1|1|1|2|0|0|-1|0|1|-1|25.0|0|0|0|0|0|1|0
15502829|M|32|173|-1|1|1|-1|0|0|0|0|1|0|1|0|32.5|0|-1|0|0|0|0|4
2483350|M|34|177|0|0|1|-1|1|0|0|0|-4|-1|1|0|22.666666666666668|0|0|0|0|0|0|3
17067386|M|31|174|0|-1|0|-1|0|-1|1|0|-1|0|1|0|21.666666666666668|1|1|0|0|1|1|1
12243812|M|31|180|2|0|1|-1|0|2|0|0|1|-1|1|1|29.0|1|0|0|0|0|1|3
20631587|M|52|177|-2|0|1|0|1|2|1|-1|1|0|0|0|25.0|0|0|1|0|1|0|0
1143318|M|31|190|2|0|1|1|1|2|1|0|3|0|0|0|-1.0|0|0|0|0|1|0|0
1409382|M|36|170|3|0|1|-1|0|0|0|0|0|0|0|0|29.0|1|0|0|0|0|0|1
84377627|M|28|176|0|1|1|-1|0|2|1|0|-1|0|1|1|-1.0|0|0|0|0|1|1|0
